UDS 속성명,Gmarket/Auction 필드명,API 영역,사용 문서 수,UDS 필요도,설명
( 계산형 ) 옵션관리코드,calculation>manageCode,Other,1,✅ 핵심 UDS,20 byte 이내 입력 가능
( 계산형 ) 옵션명 1,calculation>name1>kor,Other,1,✅ 핵심 UDS,
( 계산형 ) 옵션명 1 (name 1) 판매 최대값,calculation>maxValue1,Other,1,✅ 핵심 UDS,1 이상 입력 가능
( 계산형 ) 옵션명 1 (name 1) 판매 최소값,calculation>minValue1,Other,1,✅ 핵심 UDS,1 이상 입력 가능
( 계산형 ) 옵션명 2,calculation>name2>kor,Other,1,✅ 핵심 UDS,
( 계산형 ) 옵션명 2 (name 2) 판매 최대값,calculation>maxValue2,Other,1,✅ 핵심 UDS,1 이상 입력 가능
( 계산형 ) 옵션명 2 (name 2) 판매 최소값,calculation>minValue2,Other,1,✅ 핵심 UDS,1 이상 입력 가능
( 국문 ) 선택항목코드,details>recommendedOptValueName>kor,스타배송 API,1,✅ 핵심 UDS,추천옵션별 선택항목코드 조회 시 내려가는 정보 조회한 추천옵션코드에 속하는 선택항목명 노출 * 텍스트형일 경우 내려가지 않음
( 국문 ) 추천옵션명,details>recommendedOptName>kor,스타배송 API,1,✅ 핵심 UDS,카테고리별 추천옵션코드 조회 시 내려가는 정보
( 도서상품용 ) ISBN 코드 사용여부,itemBasicInfo>book>isUseIsbnCode,스타배송 API,1,✅ 핵심 UDS,* 도서상품일 경우 필수 도서상품은 ISBN 코드를 입력하거나 도서참고가격 연동 필요 true : ISBN 코드 입력 false :ISBN 코드 미입력
( 도서상품용 ) 참고가격,itemBasicInfo>book>price,스타배송 API,1,✅ 핵심 UDS,"* 도서상품일 경우 필수 ISBN 코드를 입력하지 않을 경우 , 참고가격 필수 참고가격 입력 시 , 상품 가격이 참고가격 로직 반영된 가격체계 노출됨"
( 도서상품용 )ISBN 코드,itemBasicInfo>book>isbnCode,스타배송 API,1,✅ 핵심 UDS,* 도서상품일 경우 필수
( 도서상품용 /G 마켓전용 ) 추가등록 카테고리,itemBasicInfo>book>attributeCode,스타배송 API,1,✅ 핵심 UDS,* 도서상품일 경우 필수 링크 xml 내 도서 카테고리 CLASS_VALUE 항목으로 입력 http://tpl.gmarket.co.kr/v1/Category/Category.xml
( 선택형 ) 주문옵션 정보,itemAddtionalInfo>orderOpts>independent,스타배송 API,1,✅ 핵심 UDS,3PL 상품은 주문옵션 사용을 지원하지 않아 null 로 호출
( 선택형 / 조합형 ) G 마켓 재고수량,"independent>details>qty>gmkt, itemAddtionalInfo>recommendedOpts>independent>details>qty>gmkt","Other, 스타배송 API",3,✅ 핵심 UDS,추천옵션 사용일 경우 필수 1~99999 로 설정 *3PL 상품은 입력한 값이 무시되고 해당 SKU 의 재고가 자동으로 연동됩니다 .
( 선택형 / 조합형 ) 노출여부,"independent>details>isDisplay, itemAddtionalInfo>recommendedOpts>independent>isDisplay","Other, 스타배송 API",3,✅ 핵심 UDS,추천옵션 사용일 경우 필수 옵션의 노출여부 제어 true : 노출 false : 미노출
( 선택형 / 조합형 ) 옥션 재고수량,"independent>details>qty>iac, itemAddtionalInfo>recommendedOpts>independent>details>qty>iac","Other, 스타배송 API",3,✅ 핵심 UDS,추천옵션 사용일 경우 필수 1~99999 로 설정 *3PL 상품은 입력한 값이 무시되고 해당 SKU 의 재고가 자동으로 연동됩니다 .
( 선택형 / 조합형 ) 추천옵션코드,"independent, independent>recommendedOptNo, itemAddtionalInfo>recommendedOpts>independent>recommendedOptNo","Other, 스타배송 API",3,✅ 핵심 UDS,추천옵션 사용일 경우 필수 추천옵션코드조회 API 에서 매칭된 코드 입력 추천옵션코드 조회 : [GET] https://sa.esmplus.com/item/v1/options/recommended-opts?catCode= {siteCatCode}
( 선택형 / 조합형 ) 추천옵션항목 ( 국문 ) 직접입력,"independent>details>recommendedOptValue>koreanText, itemAddtionalInfo>recommendedOpts>independent>details>recommendedOptValue>koreanText","Other, 스타배송 API",3,✅ 핵심 UDS,추천옵션항목코드를 사용하지 않고 직접입력할 경우 * 색상 등 직접입력 허용된 추천옵션코드에서만 사용 가능
( 선택형 / 조합형 ) 추천옵션항목 ( 영문 ) 직접입력,"independent>details>recommendedOptValue>englishText, itemAddtionalInfo>recommendedOpts>independent>details>recommendedOptValue>englishText","Other, 스타배송 API",3,✅ 핵심 UDS,
( 선택형 / 조합형 ) 추천옵션항목 ( 일문 ) 직접입력,"independent>details>recommendedOptValue>japaneseText, itemAddtionalInfo>recommendedOpts>independent>details>recommendedOptValue>japaneseText","Other, 스타배송 API",3,✅ 핵심 UDS,
( 선택형 / 조합형 ) 추천옵션항목 ( 중문 ) 직접입력,"independent>details>recommendedOptValue>chineseText, itemAddtionalInfo>recommendedOpts>independent>details>recommendedOptValue>chineseText","Other, 스타배송 API",3,✅ 핵심 UDS,
( 선택형 / 조합형 ) 추천옵션항목코드,"independent>details>recommendedOptValueNo, itemAddtionalInfo>recommendedOpts>independent>recommendedOptValueNo","Other, 스타배송 API",3,✅ 핵심 UDS,추천옵션 사용일 경우 필수 추천옵션선택항목코드조회 API 에서 매칭된 코드 입력 추천옵션 선택항목코드 조회 : [GET] https://sa.esmplus.com/item/v1/options/recommended-opts/ {recommendedOptNo}
( 선택형 / 조합형 ) 판매자옵션관리코드,"independent>details>manageCode, itemAddtionalInfo>recommendedOpts>independent>details>manageCode","Other, 스타배송 API",3,✅ 핵심 UDS,추천옵션 사용일 경우 필수 해당 옵션의 판매자가 관리하는 코드 입력
( 선택형 / 조합형 ) 품절여부,"independent>details>isSoldOut, itemAddtionalInfo>recommendedOpts>independent>isSoldOut","Other, 스타배송 API",3,✅ 핵심 UDS,추천옵션 사용일 경우 필수 옵션의 품절여부 제어 ( 옵션 재고수량으로 제어하지 않음 ) true : 품절 false : 판매
( 영문 ) 선택항목코드,details>recommendedOptValueName>eng,스타배송 API,1,✅ 핵심 UDS,추천옵션별 선택항목코드 조회 시 내려가는 정보 조회한 추천옵션코드에 속하는 선택항목명 노출 * 텍스트형일 경우 내려가지 않음
( 영문 ) 추천옵션명,"details>recommendedOptName>eng, recommendedOptName>eng",스타배송 API,1,✅ 핵심 UDS,카테고리별 추천옵션코드 조회 시 내려가는 정보
( 옥션상품용 ) 용량 / 규격 값,itemAddtionalInfo>capacity>vol,스타배송 API,1,✅ 핵심 UDS,주문 선택별로 용량이 다른 상품일 경우 등록함
( 옥션상품용 ) 용량 / 규격 단위,itemAddtionalInfo>capacity>unit,스타배송 API,1,✅ 핵심 UDS,아래 단위 중 선택하여 1 개 입력 0 : 없음 / 1 : m / 2 : g / 3 : kg / 4 : 개 / 5 : 리터 / 6 : ml / 7 : mm / 8 : 마리 / 9 : 봉 / 10 : p / 11 : cm 12 : box / 13 : mg / 14 : 팩 / 15 : 단 / 16 : 캅셀 / 17 : 캡슐 / 18 : 정 / 19 : 병 / 20 : 포 / 21 : 100g
( 옥션용 ) 가격비교사이트 쿠폰적용여부,addtionalInfo>pcs>isUseIacPcsCoupon,스타배송 API,1,✅ 핵심 UDS,"다나와 , 에누리 등 외부 가격비교사이트에 상품할인적용여부를 선택함 true : 적용 false: 미적용 가격비교사이트 상품은 등록하면서 쿠폰적용은 안되도록 설정 가능함"
( 옥션용 ) 건강기능식품인증여부,itemAddtionalInfo>certInfo>iac>healthFood>isUse,스타배송 API,1,✅ 핵심 UDS,true : 신고대상 false: 신고대상 아님
( 옥션용 ) 건강기능식품판매업 신고기관명,itemAddtionalInfo>certInfo>iac>healthFood>certOfficeName,스타배송 API,1,✅ 핵심 UDS,건강기능식품 인증여부 true 일 경우 필수
( 옥션용 ) 메인 사이트상품번호,homeShoppingTimeTable>siteGoodsNo>iac,Other,1,✅ 핵심 UDS,방송 편성표용 메인 옥션 사이트 상품번호
( 옥션용 ) 묶음 사이트상품번호,homeShoppingTimeTable>bundleGoods>iac>siteGoodsNo,Other,1,✅ 핵심 UDS,"방송 편성표용 묶음 옥션 사이트 상품번호 번들로 다수의 상품번호 일괄 입력 가능 메인 사이트상품번호는 제외하고 입력 묶음 사이트상품번호 내 , 중복된 상품번호 있을 경우에는 성공으로 Skip 하여 등록시킴"
( 옥션용 ) 묶음상품번호 노출여부,homeShoppingTimeTable>bundleGoods>iac>bundleGoodsUseYn,Other,1,✅ 핵심 UDS,"묶음상품번호 사용여부 true 일 경우 , Front 노출여부 Checking 함 묶음상품번호 사용여부 false 이면서 노출여부 true 일 경우 Fail true : 묶음상품 노출 false : 묶음상품 비노출"
( 옥션용 ) 묶음상품번호 사용여부,homeShoppingTimeTable>bundleGoodsYn>iac,Other,1,✅ 핵심 UDS,묶음 상품번호 없을경우 등록해도 Pass 시킴 true : 묶음 상품번호 있음 false : 묶음 상품번호 없음
( 옥션용 ) 발송타입정책번호,itemAddtionalInfo>shipping>dispatchPolicyNo>iac,스타배송 API,1,✅ 핵심 UDS,해당 상품의 발송타입정책번호 입력 임의 값으로 입력 가능함 입력한 해당 값은 무시되고 3PL 상품의 기본값으로 자동 적용됩니다 .
( 옥션용 ) 방송통신기기인증정보상 품상세별도표기,itemAddtionalInfo>certInfo>iac>broadcastEquipment>isAddtionalCondition,스타배송 API,1,✅ 핵심 UDS,방송통신기기 인증 사용 여부 true 일 경우 필수
( 옥션용 ) 사이트부담 지원할인,addtionalInfo>siteDiscount>iac,스타배송 API,1,✅ 핵심 UDS,옥션에서 부담하는 사이트 할인을 적용할지 여부 true : 적용 false : 적용하지 않음
( 옥션용 ) 사전광고 심의번호,itemAddtionalInfo>certInfo>iac>healthFood>adDeliberationNo,스타배송 API,1,✅ 핵심 UDS,건강기능식품 인증여부 true 일 경우 필수
( 옥션용 ) 식품제조가공업 입력사항 여부,itemAddtionalInfo>certInfo>iac>food>isUse,스타배송 API,1,✅ 핵심 UDS,true : 신고대상 false: 신고대상 아님
( 옥션용 ) 신고기관명,itemAddtionalInfo>certInfo>iac>food>certOfficeName,스타배송 API,1,✅ 핵심 UDS,식품제조가공업 입력 사용 여부 true 일 경우 필수
( 옥션용 ) 신고번호,"itemAddtionalInfo>certInfo>iac>food>certId, itemAddtionalInfo>certInfo>iac>healthFood>certId",스타배송 API,1,✅ 핵심 UDS,식품제조가공업 입력 사용 여부 true 일 경우 필수
( 옥션용 ) 의료기기 사전 광고 심의 번호,itemAdditionalInfo>certInfo>iac>medicalInstrument>adDeliberationId,스타배송 API,1,✅ 핵심 UDS,의료기기 인증 사용여부 true 일 경우 필수
( 옥션용 ) 의료기기 인증 사용 여부,itemAddtionalInfo>certInfo>iac>medicalInstrument>isUse,스타배송 API,1,✅ 핵심 UDS,true : 신고대상 false: 신고대상 아님
( 옥션용 ) 의료기기 판매신고 번호,itemAdditionalInfo>certInfo>iac>medicalInstrument>certId,스타배송 API,1,✅ 핵심 UDS,의료기기 인증 사용 여부 true 일 경우 필수
( 옥션용 ) 의료기기 판매신고기관명,itemAddtionalInfo>certInfo>iac>medicalInstrument>certOfficeName,스타배송 API,1,✅ 핵심 UDS,의료기기 인증 사용 여부 true 일 경우 필수
( 옥션용 ) 의료기기 품목 허가 번호,itemAdditionalInfo>certInfo>iac>medicalInstrument>itemLicenseId,스타배송 API,1,✅ 핵심 UDS,의료기기 인증 사용 여부 true 일 경우 필수
( 옥션용 ) 친환경 인증번호,itemAddtionalInfo>certInfo>iac>environmentFriendly>certId,스타배송 API,1,✅ 핵심 UDS,친환경 인증여부 true 일 경우 필수
( 옥션용 ) 친환경 인증여부,itemAddtionalInfo>certInfo>iac>environmentFriendly>isUse,스타배송 API,1,✅ 핵심 UDS,true : 친환경 인증상품 false: 친환경 인증상품 아님
( 옥션용 ) 판매상태 변경,"IsSell>iac, isSell>iac",스타배송 API,2,✅ 핵심 UDS,"true : 판매가능 상태로 전환 false : 판매중지 상태로 전환 * 중지상태로 1 개월 유지할 경우 삭제되며 , 판매중지 상태로 정보 호출 시 반영되지 않음"
( 일문 ) 선택항목코드,details>recommendedOptValueName>jpn,스타배송 API,1,✅ 핵심 UDS,추천옵션별 선택항목코드 조회 시 내려가는 정보 조회한 추천옵션코드에 속하는 선택항목명 노출 * 텍스트형일 경우 내려가지 않음
( 일문 ) 추천옵션명,"details>recommendedOptName>jpn, recommendedOptName>jpn",스타배송 API,1,✅ 핵심 UDS,카테고리별 추천옵션코드 조회 시 내려가는 정보
( 조합형 ) 주문옵션 정보,itemAddtionalInfo>orderOpts>combination,스타배송 API,1,✅ 핵심 UDS,3PL 상품은 주문옵션 사용을 지원하지 않아 null 로 호출
( 중문 ) 선택항목코드,details>recommendedOptValueName>chi,스타배송 API,1,✅ 핵심 UDS,추천옵션별 선택항목코드 조회 시 내려가는 정보 조회한 추천옵션코드에 속하는 선택항목명 노출 * 텍스트형일 경우 내려가지 않음
( 중문 ) 추천옵션명,recommendedOptName>chi,스타배송 API,1,✅ 핵심 UDS,추천옵션별 선택항목코드 조회 시 내려가는 정보
( 텍스트형 ) 노출여부,"text>details>isDisplay, text>details>value>isDisplay","Other, 스타배송 API",2,✅ 핵심 UDS,- 텍스트형 사용할 경우 필수 - 텍스트형을 상품상세페이지에 노출할 것인지 여부 설정 true : 노출 false : 미노출
( 텍스트형 ) 주문옵션 정보,itemAddtionalInfo>orderOpts>text,스타배송 API,1,✅ 핵심 UDS,3PL 상품은 주문옵션 사용을 지원하지 않아 null 로 호출
( 텍스트형 ) 추천옵션 정보,itemAddtionalInfo>recommendedOpts>text,스타배송 API,1,✅ 핵심 UDS,3PL 상품은 텍스트형 옵션 사용불가함으로 null 로 호출
( 텍스트형 ) 추천옵션코드,"text>details>recommendedOptNo, text>details>value>recommendedOptNo","Other, 스타배송 API",2,✅ 핵심 UDS,3PL 상품은 텍스트형 옵션 사용불가함으로 null 로 호출
( 텍스트형 ) 텍스트형 옵션명,text>details>Value,Other,1,✅ 핵심 UDS,텍스트형 옵션명 직접입력 설정하는 경우
(G 마켓 / 옥션용 ) 할인시작일자,"addtionalInfo>sellerDiscount>gmkt>startDate, sellerDiscount>gmkt>startDate","Other, 스타배송 API",2,✅ 핵심 UDS,판매자할인 사용여부 true 일 경우 필수 입력형식 YYYY-MM-DD 가능 ( 시간 설정은 현재 제공하지 않음 )
(G 마켓 / 옥션용 ) 할인액 ( 율 ),"addtionalInfo>sellerDiscount>gmkt>priceOrRate1, sellerDiscount>gmkt>priceOrRate1","Other, 스타배송 API",2,✅ 핵심 UDS,"판매자할인 사용여부 true 일 경우 필수 최소 100 원 이상 , 10 원단위 입력 , 판매가 대비 70% 까지 허용"
(G 마켓 / 옥션용 ) 할인액 ( 율 )_SD2,"addtionalInfo>sellerDiscount>gmkt>priceOrRate2, sellerDiscount>gmkt>priceOrRate2","Other, 스타배송 API",2,✅ 핵심 UDS,"권한이 있는 셀러만 사용 가능 최소 100 원 이상 , 10 원단위 입력 , 판매가 대비 70% 까지 허용"
(G 마켓 / 옥션용 ) 할인종료일자,"addtionalInfo>sellerDiscount>gmkt>endDate, sellerDiscount>gmkt>endDate","Other, 스타배송 API",2,✅ 핵심 UDS,판매자할인 사용여부 true 일 경우 필수 입력형식 YYYY-MM-DD 또는 ( 시간 설정은 현재 제공하지 않음 )
(G 마켓 / 옥션용 ) 할인타입,"addtionalInfo>sellerDiscount>gmkt>type, sellerDiscount>gmkt>type","Other, 스타배송 API",2,✅ 핵심 UDS,"판매자할인 사용여부 true 일 경우 필수 0 : 사용안함 1 : 정액 2 : 정률 * type 을 0 으로 지정 시 , 다른 값을 보내지 않거나 , null 로 호출 Ex. (O) ""iac"": { ""type"": ""0"", ""priceOrRate1"": 0 } (X) ""iac"": { ""type"": ""0"", ""priceOrRate1"": 0, ""priceOrRate2"": 0, ""startDate"": ""2018-06-21T03:12:47.461Z"", ""endDate"": ""2018-06-30T03:12:47.461Z"" }"
(G 마켓용 ) G 마켓 인벤토리 코드,itemAddtionalInfo>inventoryCode,스타배송 API,1,✅ 핵심 UDS,"(G 마켓 상품용 ) 상품 정보가 변경된 시점 ( 상품정보 , 가격정보 ) 에 등록된 code 를 주문정보에 포함하여 전달함"
(G 마켓용 ) 가격비교사이트 쿠폰적용여부,addtionalInfo>pcs>isUseGmkPcsCoupon,스타배송 API,1,✅ 핵심 UDS,G 마켓은 쿠폰적용여부 변경 불가 true 로 연동하고 상품등록 여부로 노출 여부 설정만 가능
(G 마켓용 ) 메인 사이트상품번호,homeShoppingTimeTable>siteGoodsNo>gmkt,Other,1,✅ 핵심 UDS,방송 편성표용 메인 G 마켓 사이트 상품번호
(G 마켓용 ) 묶음 사이트상품번호,homeShoppingTimeTable>bundleGoods>gmkt>siteGoodsNo,Other,1,✅ 핵심 UDS,"방송 편성표용 묶음 G 마켓 사이트 상품번호 번들로 다수의 상품번호 일괄 입력 가능 메인 사이트상품번호는 제외하고 입력 묶음 사이트상품번호 내 , 중복된 상품번호 있을 경우에는 성공으로 Skip 하여 등록시킴"
(G 마켓용 ) 묶음상품번호 노출여부,homeShoppingTimeTable>bundleGoods>gmkt,Other,1,✅ 핵심 UDS,"묶음상품번호 사용여부 true 일 경우 , Front 노출여부 Checking 함 묶음상품번호 사용여부 false 이면서 노출여부 true 일 경우 Fail true : 묶음상품 노출 false : 묶음상품 비노출"
(G 마켓용 ) 묶음상품번호 사용여부,homeShoppingTimeTable>bundleGoodsYn>gmkt,Other,1,✅ 핵심 UDS,묶음 상품번호 없을경우 등록해도 Pass 시킴 true : 묶음 상품번호 있음 false : 묶음 상품번호 없음
(G 마켓용 ) 발송타입정책번호,itemAddtionalInfo>shipping>dispatchPolicyNo>gmkt,스타배송 API,1,✅ 핵심 UDS,해당 상품의 발송타입정책번호 입력 임의 값으로 입력 가능함 입력한 해당 값은 무시되고 3PL 상품의 기본값으로 자동 적용됩니다 .
(G 마켓용 ) 사이트부담 지원할인,addtionalInfo>siteDiscount>gmkt,스타배송 API,1,✅ 핵심 UDS,G 마켓에서 부담하는 사이트 할인을 적용할지 여부 true : 적용 false : 적용하지 않음
(G 마켓용 ) 상품무게 ( 단위 :kg),itemAddtionalInfo>weight,스타배송 API,1,✅ 핵심 UDS,"숫자로 입력 ( 소수점 1 자리 가능 ) 상품무게 항목은 해외에서 주문이 발생한 경우 , 해외배송비 산정에 사용됨 미입력 시 , G 마켓이 설정한 카테고리별 무게로 해외배송비 산정 최대 30kg 까지 설정 가능함"
(G 마켓용 ) 영업허가 / 신고증,itemAddtionalInfo>certInfo>gmkt>licenseSeq,스타배송 API,1,✅ 핵심 UDS,영업허가 / 신고코드 입력
(G 마켓용 ) 인증정보코드,itemAddtionalInfo>certInfo>gmkt>certId,스타배송 API,1,✅ 핵심 UDS,상품과 관련된 인증 / 보증 / 증명 정보 입력 의료기기 / 방송통신기기 / 식품제조가공업 / 건강식품인증 / 친환경 상품일 경우 인증정보 입력
(G 마켓용 ) 판매상태 변경,"IsSell>gmkt, isSell>gmkt",스타배송 API,2,✅ 핵심 UDS,상품수정 API 해당 Entity 추가 true : 판매가능 상태로 전환 false : 판매중지 상태로 전환 * 중지상태로 1 개월 유지할 경우 삭제됨 판매중지 상태로 정보 호출 시 반영되지 않음
(G 마켓용 ) 해외판매여부,addtionalInfo>overseaSales>isAgree,스타배송 API,1,✅ 핵심 UDS,"해외판매 진행 시 , 해외배송대행 / 고객응대 / 해외마케팅 지원 등 혜택이 있고 , 진행하지 않을 경우 수출 대상에서 제외됨 해외판매대행 이용료 추가 부과됨 true : 해외판매 진행 false: 해외판매 진행하지 않음"
(G마켓)배송요청시작시간,data>AllocationStartDate,주문/배송 API,1,✅ 핵심 UDS,- 당일배송 주문에 내려가는 정보 - 고객이 선택한 배송테이블 시작시간 데이터
