UDS 속성명,Naver 필드명,API 영역,사용 문서 수,UDS 필요도,설명
가맹점 ID (string) NULLABLE 가맹점 ID,merchantId,"부가세 내역, 정산 내역",4,✅ 핵심 UDS,merchantId 가맹점 ID (string) NULLABLE 가맹점 ID
가맹점 ID (string) REQUIRED 가맹점 ID,merchantId,정산 내역,1,✅ 핵심 UDS,merchantId 가맹점 ID (string) REQUIRED 가맹점 ID
가맹점명 (string) NULLABLE 가맹점명,merchantName,"부가세 내역, 정산 내역",4,✅ 핵심 UDS,merchantName 가맹점명 (string) NULLABLE 가맹점명
가맹점명 (string) REQUIRED 가맹점명,merchantName,정산 내역,1,✅ 핵심 UDS,merchantName 가맹점명 (string) REQUIRED 가맹점명
가이드 ID (integer,guideId,판매 옵션,1,✅ 핵심 UDS,guideId 가이드 ID (integer<int64>) REQUIRED
거래 결제 수단 (string) 거래 결제 수단 Possib,paymentMethod,외부 개발사 자체 결제,1,✅ 핵심 UDS,"paymentMethod 거래 결제 수단 (string) 거래 결제 수단 Possible values: [CARD, DIGITAL, CASH, ETC]"
거래 금액(VAT 포함) (number) REQUIRED 거,totalAmount,외부 개발사 자체 결제,1,✅ 핵심 UDS,totalAmount 거래 금액(VAT 포함) (number) REQUIRED 거래 금액(VAT 포함)
거래 모델 (string) REQUIRED 거래 모델 Pos,paymentModel,외부 개발사 자체 결제,1,✅ 핵심 UDS,"paymentModel 거래 모델 (string) REQUIRED 거래 모델 Possible values: [ONETIME, USAGE, MONTHLY, YEARLY, ETC]"
거래 사유,reason,비즈월렛 결제 내역 조회,1,✅ 핵심 UDS,reason string 거래 사유 Example: 정기결제
거래 시작 일시,paymentConfirmStartDate,비즈월렛 결제 내역 조회,1,✅ 핵심 UDS,paymentConfirmStartDate string<date-time> REQUIRED 거래 시작 일시 Example: 2023-08-18T00:00:00.000+09:00
거래 일시,paymentConfirmDate,비즈월렛 결제 내역 조회,1,✅ 핵심 UDS,paymentConfirmDate string<date-time> 거래 일시 Example: 2020-07-25T10:10:10.100+09:00
거래 종료 일시,paymentConfirmEndDate,비즈월렛 결제 내역 조회,1,✅ 핵심 UDS,paymentConfirmEndDate string<date-time> REQUIRED 거래 종료 일시 Example: 2023-08-21T00:00:00.000+09:00
거래 타입 (string) REQUIRED 거래 타입 Pos,transactionType,외부 개발사 자체 결제,1,✅ 핵심 UDS,"transactionType 거래 타입 (string) REQUIRED 거래 타입 Possible values: [PAYMENT, REFUND]"
거래 ID (string) REQUIRED 거래 ID,transactionId,외부 개발사 자체 결제,1,✅ 핵심 UDS,transactionId 거래 ID (string) REQUIRED 거래 ID
검색 기간 시작일 (string,fromDate,상품 목록,1,✅ 핵심 UDS,fromDate 검색 기간 시작일 (string<date>) 'yyyy-MM-dd' 형식 입력.
검색 기간 유형 (string) PROD,periodType,상품 목록,1,✅ 핵심 UDS,"periodType 검색 기간 유형 (string) PROD_REG_DAY(상품 등록일), SALE_START_DAY(판매 시작일), SALE_END_DAY(판매 종료일), PROD_MOD_DAY(최종 수정일) Possible values: [PROD_REG_DAY, SALE_START_DAY, SALE_END_DAY, PROD_MOD_DAY]"
검색 기간 종료일 (string,toDate,상품 목록,1,✅ 핵심 UDS,toDate 검색 기간 종료일 (string<date>) 'yyyy-MM-dd' 형식 입력.
검색 시작 일시,fromDate,상품 문의,1,✅ 핵심 UDS,fromDate string<date-time> REQUIRED 검색 시작 일시 Example: 2020-07-25T10:10:10.100Z
검색 종료 일시,toDate,상품 문의,1,✅ 핵심 UDS,toDate string<date-time> REQUIRED 검색 종료 일시 Example: 2020-07-25T10:10:10.100Z
검색 키워드 타입 (string) 채널 상품번호(CHANNE,searchKeywordType,상품 목록,1,✅ 핵심 UDS,"searchKeywordType 검색 키워드 타입 (string) 채널 상품번호(CHANNEL_PRODUCT_NO) 선택 시 채널 상품번호를 입력합니다. 원상품번호(PRODUCT_NO) 선택 시 채널 원상품번호를 입력합니다. 그룹상품번호(GROUP_PRODUCT_NO) 선택 시 그룹상품번호를 입력합니다. 판매자 관리 코드(SELLER_CODE) 선택 시 판매자 관리 코드를 입력합니다. Possible values: [CHANNEL_PRODUCT_NO, PRODUCT_NO, GROUP_PRODUCT_NO, SELLER_CODE]"
결과를,type,그룹상품,1,✅ 핵심 UDS,"type string 결과를 조회할 그룹상품 요청 API의 타입 CREATE(그룹상품 등록), UPDATE(그룹상품 수정), CONVERT(그룹상품 전환) Possible values: [CREATE, UPDATE, CONVERT]"
결제 건수,numPurchases,판매 분석,1,✅ 핵심 UDS,numPurchases number<double> 결제 건수
결제 구분,transactionType,비즈월렛 결제 내역 조회,1,✅ 핵심 UDS,"transactionType string 결제 구분 Example: PAYMENT Possible values: [FREE_TRIAL, PAYMENT, UPGRADE, DOWNGRADE, REFUND]"
결제 금액,payAmount,"마케팅 분석, 실시간 분석, 판매 분석",17,✅ 핵심 UDS,payAmount number<double> 결제 금액
결제 상품 수량,productQuantity,"쇼핑행동 분석, 판매 분석",3,✅ 핵심 UDS,productQuantity number<double> 결제 상품 수량
결제 수,numPurchases,"마케팅 분석, 판매 분석",12,✅ 핵심 UDS,numPurchases number<double> 결제 수
결제 수단 (string) NULLABLE 결제 수단 PAY,payMeansType,정산 내역,1,✅ 핵심 UDS,payMeansType 결제 수단 (string) NULLABLE 결제 수단 PAYMEANS_TYPE_ALL(전체) PAYMEANS_TYPE_BANK(실시간 계좌 이체) PAYMEANS_TYPE_CCARD(신용카드) PAYMEANS_TYPE_CHAMT((구)구매자충전금) PAYMEANS_TYPE_CHKAC((구)체크아웃적립금) PAYMEANS_TYPE_DON((구)네이버캐쉬) PAYMEANS_TYPE_MOBIL(휴대폰 결제) PAYMEANS_TYPE_NCASH(네이버페이 포인트·머니) PAYMEANS_TYPE_POINT(포인트 결제) PAYMEANS_TYPE_VACCT(무통장입금) PAYMEANS_TYPE_SKIP(나중에결제) PAYMEANS_TYPE_PAYLATER(후불 결제) PAYMEANS_TYPE_GIFTCARD(기프트 카드) PAYMEANS_TYPE_NONE(주결제 수단 없음) PAYMEANS_TYPE_NMP_DISCOUNT(네이버 할인지원금) PAYMEANS_TYPE_OV
결제 완료 일시 (string,paymentConfirmDate,외부 개발사 자체 결제,1,✅ 핵심 UDS,paymentConfirmDate 결제 완료 일시 (string<date-time>) REQUIRED 결제 완료 일시 Example: 2024-08-21T10:00:00.001+09:00
결제 정산 금액 (number) NULLABLE 결제 정산,paySettleAmount,정산 내역,1,✅ 핵심 UDS,paySettleAmount 결제 정산 금액 (number) NULLABLE 결제 정산 금액(=정산 기준 금액)
결제 정산 금액 (number) REQUIRED 결제 정산,paySettleAmount,정산 내역,1,✅ 핵심 UDS,paySettleAmount 결제 정산 금액 (number) REQUIRED 결제 정산 금액(=정산 기준 금액)
결제번호,transactionId,비즈월렛 결제 내역 조회,1,✅ 핵심 UDS,transactionId string 결제번호 Example: CSP230807100017M5T074S10163
결제일 (string,payDate,정산 내역,1,✅ 핵심 UDS,payDate 결제일 (string<date>) NULLABLE 결제일(yyyy-MM-dd)
결제일 구분(periodType 값이 SETTLE,settleDecisionType,정산 내역,2,✅ 핵심 UDS,"settleDecisionType string 결제일 구분(periodType 값이 SETTLE_CASEBYCASE_PAY_DATE인 경우) SETTLED(정산 확정 건) UNSETTLED(정산 미확정 건) BEFORE_CANCEL(정산 전 취소 건) Possible values: [SETTLED, UNSETTLED, BEFORE_CANCEL]"
결제일시,paymentDate,주문 조회,1,✅ 핵심 UDS,paymentDate string<date-time> 결제 일시. 45바이트 내외 Example: 2023-01-16T17:14:51.794+09:00
결제자 수,numUsers,판매 분석,1,✅ 핵심 UDS,numUsers number<double> 결제자 수
계약 번호 (string) NULLABLE 계약 번호,contractNo,정산 내역,1,✅ 핵심 UDS,contractNo 계약 번호 (string) NULLABLE 계약 번호
계정 ID,accountId,판매자,1,✅ 핵심 UDS,accountId string 계정 ID
계정 UID,accountUid,"비즈월렛 결제 내역 조회, 솔루션 사용 API, 판매자",5,✅ 핵심 UDS,accountUid string 계정 UID
계정 UID (string) REQUIRED 계정 UID,accountUid,외부 개발사 자체 결제,1,✅ 핵심 UDS,accountUid 계정 UID (string) REQUIRED 계정 UID
계좌 번호 (string) NULLABLE 계좌 번호,accountNo,정산 내역,1,✅ 핵심 UDS,accountNo 계좌 번호 (string) NULLABLE 계좌 번호
고객 등급 silver integer,normalGrade,고객 데이터,2,✅ 핵심 UDS,normalGrade NormalGrade.data-insight (object) REQUIRED 고객 등급 silver integer<int64> 실버 고객 수 gold integer<int64> 골드 고객 수 vip integer<int64> VIP 고객 수 vvip integer<int64> VVIP 고객 수
고객 수,"vip, vvip",고객 데이터,2,✅ 핵심 UDS,vvip integer<int64> VVIP 고객 수
골드 고객 수,gold,고객 데이터,2,✅ 핵심 UDS,gold integer<int64> 골드 고객 수
공제 환급 정산 금액 (number) NULLABLE 공제,deductionRestoreSettleAmount,정산 내역,1,✅ 핵심 UDS,deductionRestoreSettleAmount 공제 환급 정산 금액 (number) NULLABLE 공제 환급 정산 금액
공지사항 내용 (string) REQUIRED,detailContents,상품 공지사항,4,✅ 핵심 UDS,detailContents 공지사항 내용 (string) REQUIRED
공지사항 유형 (string) ORDINARY(일반),postCategoryType,상품 공지사항,5,✅ 핵심 UDS,"postCategoryType 공지사항 유형 (string) ORDINARY(일반), EVENT(이벤트), DELIVERY(배송 지연), PRODUCT(상품) 미입력 시 ORDINARY(일반) 유형으로 등록됩니다. Possible values: [ORDINARY, EVENT, DELIVERY, PRODUCT]"
공지사항 ID,sellerNoticeId,상품 공지사항,3,✅ 핵심 UDS,sellerNoticeId integer<int64> REQUIRED 공지사항 ID
공지사항 ID (integer,sellerNoticeId,상품 공지사항,5,✅ 핵심 UDS,sellerNoticeId 공지사항 ID (integer<int64>)
과세 매출 금액 (number) REQUIRED 과세 매출,taxationSalesAmount,부가세 내역,2,✅ 핵심 UDS,taxationSalesAmount 과세 매출 금액 (number) REQUIRED 과세 매출 금액
관부가세 타입 코드 (string) 관부가세 타입 코드,customsTaxType,그룹상품,3,✅ 핵심 UDS,"customsTaxType 관부가세 타입 코드 (string) 관부가세 타입 코드입니다. 출고지 주소가 해외 주소인 경우 필수 입력 항목입니다. 코드 설명 비고 NOT_APPLICABLE 부과 대상 아님 - INCLUDED 관부가세 포함 노출 채널이 해외직구인 경우 INCLUDED만 허용 EXCLUDED 관부가세 미포함 - Possible values: [NOT_APPLICABLE, INCLUDED, EXCLUDED]"
관부가세 타입 코드 (string) 관부가세 타입을 나타내기,customsTaxType,상품 일괄 수정,1,✅ 핵심 UDS,"customsTaxType 관부가세 타입 코드 (string) 관부가세 타입을 나타내기 위해 사용하는 코드입니다. NOT_APPLICABLE(부과 대상 아님), INCLUDED(관부가세 포함), EXCLUDED(관부가세 미포함) Possible values: [NOT_APPLICABLE, INCLUDED, EXCLUDED]"
관부가세 타입 코드 (string) Possible valu,customsTaxType,그룹상품,1,✅ 핵심 UDS,"customsTaxType 관부가세 타입 코드 (string) Possible values: [NOT_APPLICABLE, INCLUDED, EXCLUDED]"
관심 고객 수(누적),interestCustomer,고객 데이터,2,✅ 핵심 UDS,interestCustomer integer<int64> 관심 고객 수(누적)
관심 고객 수(증감),interestCustomerFluctuation,고객 데이터,2,✅ 핵심 UDS,interestCustomerFluctuation integer<int64> 관심 고객 수(증감)
