UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
API 인증키,Authorization,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,Authorization: Vendor API Authentication Key | Authorization: 샘플코드에서 확인된 필드 | Authorization: 샘플코드에서 확인된 필드
Address ID,addrId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,addrId: Address ID | addrId: Address ID | addrId: Address ID
Address Location Another Name,addrlcAntnmNm,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,addrlcAntnmNm: Address Location Another Name | addrlcAntnmNm: Address Location Another Name | addrlcAntnmNm: Address Location Another Name
Address Use Yes Or No,useYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,useYn: Address Use Yes Or No
Address1,bascAddr,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,bascAddr: Address1
Address1 Address1,bascAddr,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,bascAddr: Address1 Address1 | bascAddr: Address1 Address1 | bascAddr: Address1 Address1
Address2,dtlAddr,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,dtlAddr: Address2
Address2 Address2,dtlAddr,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,dtlAddr: Address2 Address2 | dtlAddr: Address2 Address2 | dtlAddr: Address2 Address2
Approval Division Code (commCd,aprvDivCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,aprvDivCd: Approval Division Code (commCd:I309) 10 : Normal 20 : Forced Approval | aprvDivCd: Approval Division Code (commCd:I309) 10 : Normal 20 : Forced Approval | aprvDivCd: Approval Division Code (commCd:I309) 10 : Normal 20 : Forced Approval Required only Domestic Address
Approval Result Code (commCd:I,aprvRstCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,aprvRstCd: Approval Result Code (commCd:I307) 30 : Checking 40 : Approval 50 : Rejection 99 : Non-target | aprvRstCd: Approval Result Code (commCd:I307) 30 : Checking 40 : Approval 50 : Rejection 99 : Non-target | aprvRstCd: Approval Result Code (commCd:I307) 30 : Checking 40 : Approval 50 : Rejection 99 : Non-target Required only Domestic Address
Approval Type code (commCd : V,venItemAprvTypeCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,venItemAprvTypeCd: Approval Type code (commCd : V014) 10 MD Approval 20 Direct Approval
Basic Address,bascAddr,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,bascAddr: Basic Address | bascAddr: Basic Address | bascAddr: Basic Address
Basic Address Yes Or No,bascAddrYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,bascAddrYn: Basic Address Yes Or No | bascAddrYn: Basic Address Yes Or No | bascAddrYn: Basic Address Yes Or No
Basic Policy Yes Or No (Y/N),bascPlcyYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,bascPlcyYn: Basic Policy Yes Or No (Y/N) | bascPlcyYn: Basic Policy Yes Or No (Y/N) | bascPlcyYn: Basic Policy Yes Or No (Y/N)
Business Number,bizno,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,bizno: Business Number
City,cityNm,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,cityNm: City
City City,cityNm,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,cityNm: City City | cityNm: City City | cityNm: City City
Contract Basic Address,contrBascAddr,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,contrBascAddr: Contract Basic Address | contrBascAddr: Contract Basic Address
Contract Contacts Area Number ,contrCntsano,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,contrCntsano: Contract Contacts Area Number Required only Domestic Seller | contrCntsano: Contract Contacts Area Number Required only Domestic Seller Foreign Seller Do Not Save
Contract Contacts Exchange Num,contrCntseno,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,contrCntseno: Contract Contacts Exchange Number Required only Domestic Seller | contrCntseno: Contract Contacts Exchange Number Required only Domestic Seller Foreign Seller Do Not Save
Contract Contacts Line Number ,contrCntslno,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,contrCntslno: Contract Contacts Line Number Required only Domestic Seller | contrCntslno: Contract Contacts Line Number Required only Domestic Seller Foreign Seller Do Not Save
Contract Cost (Required if the courier i,delicoContrAmt,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,"delicoContrAmt: Contract Cost (Required if the courier is CJ/Post Office/Lotte/Rogen/Hanjin/Ilyang) ※ In case of Ilyang, automatic return service is possible only when the Contract Cost is input. | delicoContrAmt: Contract Cost (Required if the courier is CJ/Post Office/Lotte/Rogen/Hanjin/Ilyang) ※ In case of Ilyang, automatic return service is possible only when the Contract Cost is input. | delicoContrAmt: Contract Cost (Required if the courier is CJ/Post Office/Lotte/Rogen/Hanjin/Ilyang) ※ In case of Ilyang, automatic return service is possible only when the Contract Cost is input."
Contract Detail Address,contrDtlAddr,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,contrDtlAddr: Contract Detail Address | contrDtlAddr: Contract Detail Address
Contract Zip Code,contrZipcd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,contrZipcd: Contract Zip Code | contrZipcd: Contract Zip Code
Contracts,frgTelno,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,frgTelno: Contracts
Contracts (format : XXXX-XXXX-XXXX),cnts,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,cnts: Contracts (format : XXXX-XXXX-XXXX) | cnts: Contracts (format : XXXX-XXXX-XXXX) | cnts: Contracts (format : XXXX-XXXX-XXXX)
Contracts Country Code,cntsCntryCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,cntsCntryCd: Contracts Country Code
Cost Exemption Standard,shppcstExmpCritnAmt,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,shppcstExmpCritnAmt: Cost Exemption Standard | shppcstExmpCritnAmt: Cost Exemption Standard
Cost Exemption Standard (less than 9 cha,shppcstExmpCritnAmt,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,"shppcstExmpCritnAmt: Cost Exemption Standard (less than 9 characters) Policy on Release Shipping Cost Only(shppcstPlcyDivCd = 10) * If more than the standard cost, no shipping charge * Not transmitting the Cost Exemption Standard when setting shipping cost as 'paid'. | shppcstExmpCritnAmt: Cost Exemption Standard (less than 9 characters) Policy on Release Shipping Cost Only(shppcstPlcyDivCd = 10) * If more than the standard cost, no shipping charge * Not transmitting the Cost Exemption Standard when setting shipping cost as 'paid'."
Country Code,cntryCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,cntryCd: Country Code
Courier Company Contract Code ,delicoTrscNo,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,"delicoTrscNo: Courier Company Contract Code (Required if the courier is CJ/Post Office/Lotte/Rogen/Hanjin/Ilyang/Pingpong/Returnall) ※ In case of Ilyang, automatic return service is possible only when the courier company contract code is input. | delicoTrscNo: Courier Company Contract Code (Required if the courier is CJ/Post Office/Lotte/Rogen/Hanjin/Ilyang/Pingpong/Returnall) ※ In case of Ilyang, automatic return service is possible only when the courier company contract code is input. | delicoTrscNo: Courier Company Contract Code (Required if the courier is CJ/Post Office/Lotte/Rogen/Hanjin/Ilyang/Pingpong/Returnall) ※ In case of Ilyang, automatic return service is possible only when the courier company contract code is input."
Courier Company Ven Code - In ,goodsMngCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,"goodsMngCd: Courier Company Ven Code - In case of Post Office, Post Office Customer Number is required - In case of CJ, CJ Customer Number(B Code) is required only when using | goodsMngCd: Courier Company Ven Code - In case of Post Office, Post Office Customer Number is required - In case of CJ, CJ Customer Number(B Code) is required only when using | goodsMngCd: Courier Company Ven Code - In case of Post Office, Post Office Customer Number is required - In case of CJ, CJ Customer Number(B Code) is required only when using"
Detail Address,dtlAddr,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,dtlAddr: Detail Address | dtlAddr: Detail Address | dtlAddr: Detail Address
Gmarket Business Number,AuthBizno,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,AuthBizno: Gmarket Business Number | AuthBizno: Gmarket Business Number
Group Address ID,grpAddrId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,grpAddrId: Group Address ID | grpAddrId: Group Address ID | grpAddrId: Group Address ID
House Numbering Address ID,jibunAddrId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,jibunAddrId: House Numbering Address ID
House Numbering Address Use Ye,jibunAddrUseYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,jibunAddrUseYn: House Numbering Address Use Yes Or No
House Numbering Basic Address,jibunAddrBasc,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,jibunAddrBasc: House Numbering Basic Address
House Numbering Detail Address,jibunAddrDtl,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,jibunAddrDtl: House Numbering Detail Address
Item Information Management Pr,itemInfoMngPropCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,itemInfoMngPropCd: Item Information Management Property Code (commCd : I096) 00 New Item 01 Deal New Item 10 Basic info Approve changes 11 Shipping Requirement Day Approve changes 20 Item Management Property Approve changes 30 Item option Approve changes 40 Item images Approve changes 41 Item video url Approve changes 50 Item Detail Description Approve changes 60 Item selling point Approve changesApprove changes 70 Item Sales Price Approve changes 71 Initial Item Sales Price Approve changes A0 item display site st | itemInfoMngPropCd: Item Information Management Property Code (commCd : I096) 00 New Item 01 Deal New Item 10 Basic info Approve changes 11 Shipping Requirement Day Approve changes 20 Item Management Property Approve changes 30 Item option Approve changes 40 Item images Approve changes 41 Item video url Approve changes 50 Item Detail Description Approve changes 60 Item selling point Approve changesApprove changes 70 Item Sales Price Approve changes 71 Initial Item Sales Price Approve changes A0 item display site st
Item Regist Detail code (commC,itemRegDtlCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,itemRegDtlCd: Item Regist Detail code (commCd : I311) 10 Online Store 30 Department Store
