UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
API 인증키,Authorization,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,Authorization: Vendor API Authentication Key | Authorization: 샘플코드에서 확인된 필드 | Authorization: 샘플코드에서 확인된 필드
Cancellation Requested Date,clmDemndDts,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,clmDemndDts: Cancellation Requested Date
Claim Reason Code,clmRsnCd,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,clmRsnCd: Claim Reason Code
Claim Reason Code 351( No long,clmRsnCd,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,clmRsnCd: Claim Reason Code 351( No longer needed ) 353( Color didn't match or size didn't fit ) 310( Product or shipping box damaged ) 303( The wrong item was sent ) 301( Item defective or doesn't work ) 352( Return after reordering items )
Claim Reason Contents,clmRsnCntt,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,clmRsnCntt: Claim Reason Contents | clmRsnCntt: Claim Reason Contents
Collecting Method 20 : Custome,rcovMthdCd,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,rcovMthdCd: Collecting Method 20 : Customer Firsthand Shipping 40 : Automatic Return Shipping 45 : Vendor Designated Shipping 70 : SSG Dedicated Shipping 90 : No Recollection required
"Confirm Goods Received ( Y, N ",purchDcsnYn,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,"purchDcsnYn: Confirm Goods Received ( Y, N )"
Customer name,mbrNm,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,mbrNm: Customer name
Customer request Date,orordRcpDts,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,orordRcpDts: Customer request Date
Instructed Quantity[ Order Quantity - ( ,dircQty,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,dircQty: Instructed Quantity[ Order Quantity - ( Canceled Quantity + Return Quantity ) ]
Last Date(yyyyMMdd),searchEndDt,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,searchEndDt: Last Date(yyyyMMdd)
Option identification to be ex,exchTgtUitemId,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,exchTgtUitemId: Option identification to be exchanged
Order Item Status Order 110(Waiting for ,ordItemStat,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,ordItemStat: Order Item Status Order 110(Waiting for Deposit) 120(Order Confirmation) 130(Shipping Instructed) 140(Picking Completed) 160(Out for Delivery) 170(In Transit) Cancellation 180(Order Cancellation) Return 230(Recollect) 235(Recollect Confirmed) 246(Recollect Completed on Hold) 250(Receive the Item) 260(Refund on Hold) 270(Refund Completed) 299(Return Withdrawal) Exchange 330(Recollect) 335(Recollect Confirmed) 336(Recollect Completed on Hold) 340(Receive the Item) 350(Release Items) 360(Picking Co
Requested Quantity,procOrdQty,주문 / 취소 / 반품,1,단일,✅ 핵심 UDS,procOrdQty: Requested Quantity
