UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
(변경)출고예정일(=입고예정일자와 동일) * short,whinExpcDt,업체 주문/배송,1,단일,✅ 핵심 UDS,"whinExpcDt: (변경)출고예정일(=입고예정일자와 동일) * shortgRsnCd: 21일 때 당일 날짜만 등록 가능 * shortgRsnCd: 01, 02, 03일 때 익일날짜부터 등록 가능 (Changed)Warehouse Out Expected Date(=Same as Warehouse In Expected Date) * If shortgRsnCd is 21, only the date can be registered. * If shortgRsnCd is 01, 02 or 03, You can register from the next day."
(변경)출고예정일자(=입고예정일자와 동일) (Chang,whinExpcDt,업체 주문/배송,1,단일,✅ 핵심 UDS,whinExpcDt: (변경)출고예정일자(=입고예정일자와 동일) (Changed)Warehouse Out Expected Date(=Same as Warehouse In Expected Date)
API 인증키,Authorization,업체 주문/배송,1,단일,✅ 핵심 UDS,Authorization: 업체 인증키 Vendor API Authentication Key | Authorization: 샘플코드에서 확인된 필드 | Authorization: 샘플코드에서 확인된 필드
Integer,whinDelayNts / whoutDelayNts,업체 주문/배송,1,단일,✅ 핵심 UDS,whinDelayNts: Integer | whoutDelayNts: Integer
deliveryEnd,deliveryEnd,업체 주문/배송,1,단일,✅ 핵심 UDS,
deliveryEnds,deliveryEnds,업체 주문/배송,1,단일,✅ 핵심 UDS,
nonDelivery,nonDelivery,업체 주문/배송,1,단일,✅ 핵심 UDS,
nonDeliverys,nonDeliverys,업체 주문/배송,1,단일,✅ 핵심 UDS,
requestDeliveryEnd,requestDeliveryEnd,업체 주문/배송,1,단일,✅ 핵심 UDS,
requestNoSellRequestRegist,requestNoSellRequestRegist,업체 주문/배송,1,단일,✅ 핵심 UDS,
requestNonDelivery,requestNonDelivery,업체 주문/배송,1,단일,✅ 핵심 UDS,
requestOrderSubjectManage,requestOrderSubjectManage,업체 주문/배송,1,단일,✅ 핵심 UDS,
requestShppDirection,requestShppDirection,업체 주문/배송,1,단일,✅ 핵심 UDS,
requestShppingDelay,requestShppingDelay,업체 주문/배송,1,단일,✅ 핵심 UDS,
requestWarehouseOut,requestWarehouseOut,업체 주문/배송,1,단일,✅ 핵심 UDS,
requestWhOutCompleteProcess,requestWhOutCompleteProcess,업체 주문/배송,1,단일,✅ 핵심 UDS,
shppDirection,shppDirection,업체 주문/배송,1,단일,✅ 핵심 UDS,
shppDirections,shppDirections,업체 주문/배송,1,단일,✅ 핵심 UDS,
warehouseOut,warehouseOut,업체 주문/배송,1,단일,✅ 핵심 UDS,
warehouseOuts,warehouseOuts,업체 주문/배송,1,단일,✅ 핵심 UDS,
개런티 주문여부 Y/N GuaranteeItem Ord,ordItemCertNoYn,업체 주문/배송,1,단일,✅ 핵심 UDS,ordItemCertNoYn: 개런티 주문여부 Y/N GuaranteeItem OrderType Yes Or No Y/N | ordItemCertNoYn: 개런티 주문여부 Y/N GuaranteeItem OrderType Yes Or No Y/N | ordItemCertNoYn: 개런티 주문여부 Y/N GuaranteeItem OrderType Yes Or No Y/N
개인통관고유부호,pCus,업체 주문/배송,1,단일,✅ 핵심 UDS,pCus: 개인통관고유번호 Personal Serial Number For Customs | pCus: 개인통관고유번호 Personal Serial Number For Customs | pCus: 개인통관고유번호 Personal Serial Number For Customs
결과,result,업체 주문/배송,1,단일,✅ 핵심 UDS,result: 샘플코드에서 확인된 필드 | result: 샘플코드에서 확인된 필드 | result: 샘플코드에서 확인된 필드
결과 메시지,resultMessage,업체 주문/배송,1,단일,✅ 핵심 UDS,resultMessage: 결과 값 Result Message | resultMessage: 샘플코드에서 확인된 필드 | resultMessage: 결과 값 Result Message
결과 설명,resultDesc,업체 주문/배송,1,단일,✅ 핵심 UDS,resultDesc: 오류 메시지 Error Message | resultDesc: 샘플코드에서 확인된 필드 | resultDesc: 오류 메시지 Error Message
결과코드,resultCode,업체 주문/배송,1,단일,✅ 핵심 UDS,resultCode: 결과 코드 Result Code | resultCode: 샘플코드에서 확인된 필드 | resultCode: 결과 코드 Result Code
