UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
API 인증키,Authorization,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,Authorization: 업체 인증키 Vendor API Authentication Key | Authorization: 샘플코드에서 확인된 필드 | Authorization: 샘플코드에서 확인된 필드
exchangeTarget,exchangeTarget,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,
exchangeTargets,exchangeTargets,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,
request,request,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,
requestConfirmRcov,requestConfirmRcov,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,
requestExchangeTarget,requestExchangeTarget,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,
requestRefusualReturn,requestRefusualReturn,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,
개런티 주문여부 Y/N GuaranteeItem Ord,ordItemCertNoYn,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,ordItemCertNoYn: 개런티 주문여부 Y/N GuaranteeItem OrderType Yes Or No Y/N | ordItemCertNoYn: 개런티 주문여부 Y/N GuaranteeItem OrderType Yes Or No Y/N
결과,result,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,result: 결과 Result | result: 샘플코드에서 확인된 필드 | result: 샘플코드에서 확인된 필드
결과 메시지,resultMessage,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,resultMessage: 결과 값 Result Message | resultMessage: 샘플코드에서 확인된 필드 | resultMessage: 결과 값 Result Message
결과 설명,resultDesc,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,resultDesc: 오류 메시지 Error Message | resultDesc: 샘플코드에서 확인된 필드 | resultDesc: 오류 메시지 Error Message
결과코드,resultCode,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,resultCode: 결과 코드 Result Code | resultCode: 샘플코드에서 확인된 필드 | resultCode: 결과 코드 Result Code
공급 업체 부담 할인 금액 Supply Vendor Burden Disc,splVenBdnDcAmt,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,splVenBdnDcAmt: 공급 업체 부담 할인 금액 Supply Vendor Burden Discount Amount
공급업체ID Supply Vendor ID,splVenId,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,splVenId: 공급업체ID Supply Vendor ID
공급업체명 Supply Vendor Name,shppVenNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppVenNm: 공급업체명 Supply Vendor Name
공급업체아이디 Supply Vendor Identifi,shppVenId,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,shppVenId: 공급업체아이디 Supply Vendor Identification
교환 배송비용 Exchange Shipping Cost,exchShppcst,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,exchShppcst: 교환 배송비용 Exchange Shipping Cost
귀책구분코드 10 고객 20 업체 Imputation ,imptDivCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,imptDivCd: 귀책구분코드 10 고객 20 업체 Imputation Division Code 10 Customer 20 Vendor
귀책사유주체 10 고객 20 판매자 30 택배사 Ret,retImptMainCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,retImptMainCd: 귀책사유주체 10 고객 20 판매자 30 택배사 Return Request Reason Main Code 10 Customer 20 Seller 30 Shipping Company | retImptMainCd: 귀책사유주체 10 고객 20 판매자 30 택배사 Return Request Reason Main 10 Customer 20 Seller 30 Shipping Company | retImptMainCd: 귀책사유주체 10 고객 20 판매자 30 택배사 Return Request Reason Main 10 Customer 20 Seller 30 Shipping Company
귀책사유주체 10 고객 20 판매자 30 택배사 Return Reques,retImptMainCds,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,retImptMainCds: 귀책사유주체 10 고객 20 판매자 30 택배사 Return Request Reason Main 10 Customer 20 Seller 30 Shipping Company
귀책사유주체 Return Request Reason Main,retImptMainNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,retImptMainNm: 귀책사유주체 Return Request Reason Main
