UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
API 인증키,Authorization,정산 API 조회,1,단일,✅ 핵심 UDS,Authorization: Vendor API Authentication Key | Authorization: 샘플코드에서 확인된 필드 | Authorization: 샘플코드에서 확인된 필드
Accumulation Type Code,accumTypeCd,정산 API 조회,1,단일,✅ 핵심 UDS,accumTypeCd: Accumulation Type Code
Alliance Type,allnTypeNm,정산 API 조회,1,단일,✅ 핵심 UDS,allnTypeNm: Alliance Type | allnTypeNm: Alliance Type
BigDecimal,allnPaymtAmt / bascFee / crdPaymtAmt / cshPaymtAmt / ctaxAmt / dvCstmrAmt / dvShppcstAmt / dvShppcstVat / etcPaymtAmt / feert / freeShppCpnOwncoBdnAmt / freeShppCpnVenBdnAmt / frgSellVat / lastSellFee / mobilPaymtAmt / netAmt / owncoBdnDcAmt / owncoDvShppcst / paymtAmt / prcAmt / sellFee / sellUprc / settlTgtFee / settlTgtFeeVat / splVenBdnDcAmt / totDcAmt / totSellAmt / venDvShppcst / venDvShppcstVat,정산 API 조회,1,단일,✅ 핵심 UDS,sellUprc: BigDecimal | totSellAmt: BigDecimal | splVenBdnDcAmt: BigDecimal
Buy Type Division Code,buyTypeDivCd,정산 API 조회,1,단일,✅ 핵심 UDS,buyTypeDivCd: Buy Type Division Code
Buy Type Division Code 30 : Co,buyTypeDivCd,정산 API 조회,1,단일,✅ 핵심 UDS,buyTypeDivCd: Buy Type Division Code 30 : Consignment 31 : Consignment(Flight) 32 : Consignment(Hotel) 40 : Open market
Buy Type Division Name,buyTypeDivNm,정산 API 조회,1,단일,✅ 핵심 UDS,buyTypeDivNm: Buy Type Division Name
Channel ID,chnlId,정산 API 조회,1,단일,✅ 핵심 UDS,chnlId: Channel ID
Channel Name,chnlNm,정산 API 조회,1,단일,✅ 핵심 UDS,chnlNm: Channel Name
Cost Policy Id,cstPlcyId,정산 API 조회,1,단일,✅ 핵심 UDS,cstPlcyId: Cost Policy Id
Criterion,critnSeq,정산 API 조회,1,단일,✅ 핵심 UDS,critnSeq: Criterion
